"Story","Title","Result","Date","Stability","Duration (s)"
"Go rest CURD test","This method will get all users records","SUCCESS","2023-06-05T21:43:03.320+01:00[Europe/London]","0.0","5.89"
"Go rest CURD test","This method will create a new users record and verify it by its ID","SUCCESS","2023-06-05T21:43:09.246+01:00[Europe/London]","0.0","2.96"
"Go rest CURD test","This method will update the existing record","SUCCESS","2023-06-05T21:43:12.212+01:00[Europe/London]","0.0","1.65"
"Go rest CURD test","This method will delete the existing record","SUCCESS","2023-06-05T21:43:13.869+01:00[Europe/London]","0.0","1.58"
